dataset/clips\chunk_00000.wav	ජීවිතයට කතාව වෙනුවෙන් ඔයාව සාධරයෙන් පිළිගන්නවා.	10.0
dataset/clips\chunk_00001.wav	අද අපි ඔබට කියන්න යන්නේ ඉස්ලාමීය ආදර්ශමත් කතාව	10.0
dataset/clips\chunk_00002.wav	මේ කතාව සුල ඉමාන් සහ මී මැසසා ගියන කතාව	10.0
dataset/clips\chunk_00003.wav	ඉතින් අපි හෙනඟේ කතාව අහල බලමු	10.0
dataset/clips\chunk_00004.wav	කාලෙකට ඉස්සරලා සුළිමන් කියලා	10.0
dataset/clips\chunk_00005.wav	ඔහු විතාමත්ම හොඳින් රාජපාලනය කරනවා නිසාම එතුමට අල්ලාදෙවියන් විසින් තැහැක්ගක් ලබා දීල තියනව්.	10.0
dataset/clips\chunk_00006.wav	තමයි සත්තුත්තෙක්ක කතාකරන්න පුළුවන් සත්තුන්ගෙ භාෂාව තේරුම් ගන්න එක පුළුවන් බලයක් ඉතින්	10.0
dataset/clips\chunk_00007.wav	මේ රජතුමා එක්තරා දවසක ගමනක් යනවා.	10.0
dataset/clips\chunk_00008.wav	ඔහු යන්නේ ලස්සන ඇළදොළ ගගාවන් වලින් පිරුණු උද්යානයක් මේ සුළිමන් රජතුමා මේ උද්යානයට ගියි.	10.0
dataset/clips\chunk_00009.wav	මෙහෙම වාඩිවෙලා ඉන්නවා අතරෙ එයා අවට ඉන්නවා සත්තු කතාව කරනවා දේවල් හොඳින් අහගෙන සමහර සත්තුත් එක්කක් ත්කියි.	10.0
dataset/clips\chunk_00010.wav	ඉදි මෙහෙම ඉන්නකොට කුඩා මීමැස්සෙක් මෙයාලගට එනවා	10.0
dataset/clips\chunk_00011.wav	ඇවිල්ලා තියෙනවා රජතුමනි ඔබට තෑග් ගග්ගෙනාව කියලා. මෙ සුළේමාන් යලොකු රජකෙනෙකුණත් හිනහා වෙක්නා.	10.0
dataset/clips\chunk_00012.wav	මේ මීමැස්සකෙන් අහනවා ඔබ මොනවද මට ගෙන අවෙ කියලා. ඉතින් මීමැසා තමන්ගෙ තුරේ තිබුණු පුඥියි.	10.0
dataset/clips\chunk_00013.wav	උජි මීපැනි බින්දුවක් එතු මගේ අත උඩින් තියෙනවා මේ තමයි මගේ දෑග්ගරජි තුමනි.	10.0
dataset/clips\chunk_00014.wav	ඔබවහන්සේ වෙනුවෙන් මයි මහන්ස් ර්යලා මේ ටික අරගනාවි කියලා කියනවා.	10.0
dataset/clips\chunk_00015.wav	ඉතින් මේ රජතුමා බොහොම ගරු සරු ඇතුව තෑග්ග භාර ගන්නවා ඒතෑග්ගට ගොඩක් ස්තුතිවන්ත වෙනවා.	10.0
dataset/clips\chunk_00016.wav	එවගේම මේ රජතුමා කියන මා	10.0
dataset/clips\chunk_00017.wav	මේ ඔබ ලබා දුන්නු තැග්ග මගේ රාජ්යයේ රත්තර බුලියකටත් වඩා මටවටිනවා. මොකද	10.0
