path	text	duration
dataset/clips/chunk_00000.wav	අපි ව්‍යාපරයකයල කියෝම ගොඩක් ලාවට මාතක් වෙනි පොතේ තියෙන පාඩමක් විතරයි එත්තටම ඒට වැඩක් කොච්චිරි ගැඹුරු දෙයක්ත ව්‍යාපාරකයනි නිකම්න සංකල්පයක් ඒක මෙනිස්විදිට බවතින්නේ පුඳක් හිතල බලන්නම අද දවසේ පාවිචිකරපු දේවගගන.	30.0
dataset/clips/chunk_00001.wav	අනෙ සරල ප්‍රශ්නයන් තමයි ප්‍යාපාර ලෝකීයම කතාව පටන් ගරනේ.	30.0
dataset/clips/chunk_00002.wav	ඉතිං අර ගැටලුවට අප විසඳුම් හොයා ගත්තේ කොහොමද? ඒක එකරෑකිමන දෙයක් නැවෙයි? ඒක ගමනක් හිතන්දා ගොඩාක් ඉස්සර කාලේ හැමෝම තමන් මහදා ගත්තා. ඊටපස්සේ මිනිස්සු තේරුම් ගත්තා මළලග වඩිපුරතින සහලිටික දීලා අල්ලපු ගිලාපු ගන්පුලා පුලාපුලා පුල්වරුවරුවතමතම් ටිටිටිටිටිටිටිටි ටිට�	30.0
dataset/clips/chunk_00003.wav	දැවැන්ත ව්‍යාපාර සහ ගෝලීය වෙළඳාම දක්වා ආවි	30.0
dataset/clips/chunk_00004.wav	අරිමුණක් හෝ කීපයක් තියෙනව මුළු මෙහියුම මැ දුවන්නේ අන්නේ අරමුණුවිට කරගන්නයි. හරිම පැහැදිලි ලාභය ව්‍යාපාරයක් පටන් ගන්න සල්ලිදානායට ඒකියනි අයිතිකරුවන්ට ප්‍රතිලාභයා ගෝනනේ දේක. පාරිපූගික තෘපුත්තිය. මේකා හරිම වැදගගත්ගත් බවදගගතින්නි බවදගිනිනිනින්න්යියියියි�	30.0
dataset/clips/chunk_00005.wav	හැම ව්‍යාපාරයක්ම ලාභෙම පස්සෙ දුවන්නේ නෑ සමහර ව්‍යාපාරතියිනවා එවයි ප්‍රධාහනම අරමුණ වෙනේ සමාජයක කරනුවන අපි ව්‍යාපාර ලෝකේත ම මූලිකම සංකල්බ දෙකක්‍රන කථා කරන්න ඕතමි අවශ්‍යතාව සහ වුවමනා අවශ්‍යතා කියන්න හරිම සරලදයක් ඒ කියන්නේ ජීවත්වත්වත්චිකච්චිකචිකචියකියකි�	30.0
dataset/clips/chunk_00006.wav	එයත් සමාජය දියුණු වෙනෙක් සෞමනා කියන්නේ අලින් කතා කරපු මූලික අවශ්‍යතා සිතා	30.0
dataset/clips/chunk_00007.wav	අවශ්‍යතා කියන්නේ අපිට ජීවතු නැතුමබැරි හැමෝටම පුදු සභාවයන් එකා ගැනෙකාට වෙනස්	30.0
dataset/clips/chunk_00008.wav	අන් එක තමයි ව්‍යාපාරවලට වුවමනා නිර්මාණය කරන්ඩ තියෙන හැකියාව. එනිසා වුවමනා කියන දේ අසීමිතයි. මේ දෙක පටලවා නුගැනීම විවාපාරවලට වුවමනාව සපුරණ ව්‍යාපාරයක් කින්ද්‍රස්ථානයක් වගේ.	30.0
dataset/clips/chunk_00009.wav	ව්‍යාපාරය ගැන උනන්දුවක් එහෙමත ඇතම් යම් කිසි සම්බන්ධයක් තියෙනවා අල්මැති පාර්ශ්වයේ කේදයි? එති කරවන්ට ලාභය සේවකියන්ට ඕන හොඳ පඩියක් පරිභෝගිකියන්ට එයල්ට අඩුමිලට හොඳම බඩු සැපියුම් කරුවන්ට ඕන වෙලාවට සල්ලි.	30.0
dataset/clips/chunk_00010.wav	එක නිසා තමයි කියන්නේ ව්‍යාපාරයකේ සාර්ථකත්වය එක පැවැත්තාවය කොචියකට පරස්පරයි.	30.0
dataset/clips/chunk_00011.wav	එකක් කැඩුණත් ඔක්කොම ඉවරයි.ඉතින් අවසාන වර්ෂයෙන් අපි ආයෙත් මුලට මවුවත් මේ පළවිණි පාඩමෙන් තියරුම් ගණදෝන දේ හරිම සරලයි.ඉතින්නේ.ඊනේ.	30.0
dataset/clips/chunk_00012.wav	අන් එහෙම්මයි වූමනා කාලයට එක්ක අවශ්‍යකාබවට පත්වෙන්නේ එය වෙනසු කොච්චර වේකවදකියල පොඩ්ඩක් හිතන්න.	30.0
dataset/clips/chunk_00000.wav	මං දැඟෙන්න මගේ ශ්‍රේෂ්ත්‍රයේ එහැලම තැන උදත් මට තියුණුවෙන්න පුළුවන් කළමක් විශ්වාස කරනවා.මං හැම උදේකම නැගිටලා මගේ පුහුණුවීමලට යන්නේ දවසක් ප්තුර නැතුව මුළු දවසම මට පුහුණුවීමි කරන්න සිද්ද නොවුනනං.මගාසාවෙන් සෙලන් කරපු ඒ ටීම්මියියි යාලුවුමවු මවවවවව ක්ක�	30.0
dataset/clips/chunk_00001.wav	කුරිරු කට්රුක විදිහට මට නොසැලකුවනක්	30.0
dataset/clips/chunk_00002.wav	ඔහු කියනවා මගේ පුර්තිය තුල තුකත් එන්චෝයි කරන්න පටන් කත්තා අවසානේදී මං සාර්ථකයි.	30.0
dataset/clips/chunk_00003.wav	ඇදෙලි කිරීම් අනුමශ්‍ය අය නේද? වරකරන්න සතුටින් මැරකරන්න බුට්ලක්	30.0
